//Injector,MinDispatch,MinOn,MinOff,BaseCost,HotStartCost,WarmStartCost,ColdStartCost,TimeToWarm,TimeToCold,HotUpTime,WarmUpTime,ColdUpTime
40426_B1,1,,,,,,,,,,,
109003_EQ,1,,,,,,,,,,,
109021_B1,1,,,,,,,,,,,
109062_B1,1,,,,,,,,,,,
109081_B1,1,,,,,,,,,,,
110001_N2,23,,,,,,,,,,,
110002_N1,23,,,,,,,,,,,
110011_N1,23,,,,,,,,,,,
110012_N2,24,,,,,,,,,,,
110013_N3,46,,,,,,,,,,,
110014_N4,45,,,,,,,,,,,
110015_L5,133,,,,,,,,,,,
110016_L6,134,,,,,,,,,,,
110017_L7,134,,,,,,,,,,,
110018_L8,132,,,,,,,,,,,
110019_BS,2,,,,,,,,,,,
110020_N1,1,,,,,,,,,,,
110031_N1,1,,,,,,,,,,,
110032_N2,1,,,,,,,,,,,
110034_C7,5,,,,,,,,,,,
110035_C8,5,,,,,,,,,,,
110036_C9,3,,,,,,,,,,,
110037_C0,3,,,,,,,,,,,
110041_BS,3,,,,,,,,,,,
110042_C1,45,,,,,,,,,,,
110043_C2,45,,,,,,,,,,,
110044_C3,45,,,,,,,,,,,
110045_C4,45,,,,,,,,,,,
110046_C0,14,,,,,,,,,,,
110047_C5,45,,,,,,,,,,,
110048_C6,45,,,,,,,,,,,
110049_C7,45,,,,,,,,,,,
110050_C8,45,,,,,,,,,,,
110051_C0,14,,,,,,,,,,,
110052_N1,36,,,,,,,,,,,
110053_N2,36,,,,,,,,,,,
110054_N3,36,,,,,,,,,,,
110055_N4,36,,,,,,,,,,,
110056_N5,36,,,,,,,,,,,
110057_N6,36,,,,,,,,,,,
110071_N1,47,,,,,,,,,,,
110072_N2,47,,,,,,,,,,,
110073_C1,100,,,,,,,,,,,
110074_C2,100,,,,,,,,,,,
110075_C0,50,,,,,,,,,,,
110092_N1,26,,,,,,,,,,,
110093_N2,26,,,,,,,,,,,
110094_N3,26,,,,,,,,,,,
110095_N4,26,,,,,,,,,,,
110096_N5,26,,,,,,,,,,,
110097_N6,26,,,,,,,,,,,
110111_P1,1,,,,,,,,,,,
110114_P1,1,,,,,,,,,,,
110116_P1,1,,,,,,,,,,,
110117_P1,1,,,,,,,,,,,
110123_P1,1,,,,,,,,,,,
110124_P1,1,,,,,,,,,,,
110125_P1,1,,,,,,,,,,,
110135_P1,1,,,,,,,,,,,
110137_P1,1,,,,,,,,,,,
110139_P1,1,,,,,,,,,,,
110141_P1,1,,,,,,,,,,,
110146_P1,1,,,,,,,,,,,
110147_P1,1,,,,,,,,,,,
110171_PE,1,,,,,,,,,,,
110172_PE,1,,,,,,,,,,,
110173_PE,1,,,,,,,,,,,
110174_PE,1,,,,,,,,,,,
110201_PE,1,,,,,,,,,,,
110202_PE,1,,,,,,,,,,,
110203_PE,1,,,,,,,,,,,
110204_PE,1,,,,,,,,,,,
110205_C0,1,,,,,,,,,,,
110231_P1,1,,,,,,,,,,,
110261_N1,58,,,,,,,,,,,
110271_PE,50,,,,,,,,,,,
110272_PE,50,,,,,,,,,,,
110273_PE,8,,,,,,,,,,,
110280_PE,85,,,,,,,,,,,
110281_PE,85,,,,,,,,,,,
110282_PE,85,,,,,,,,,,,
110283_PE,20,,,,,,,,,,,
110284_PE,25,,,,,,,,,,,
110331_P1,1,,,,,,,,,,,
110331_P5,1,,,,,,,,,,,
110332_P7,1,,,,,,,,,,,
110332_P2,1,,,,,,,,,,,
110333_P6,1,,,,,,,,,,,
110334_P3,1,,,,,,,,,,,
110335_P8,1,,,,,,,,,,,
110351_U1,102,,,,,,,,,,,
110352_U2,102,,,,,,,,,,,
110371_P1,1,,,,,,,,,,,
110372_P2,1,,,,,,,,,,,
110373_P3,1,,,,,,,,,,,
110374_P4,1,,,,,,,,,,,
110375_P8,1,,,,,,,,,,,
110375_PF,1,,,,,,,,,,,
110376_PA,1,,,,,,,,,,,
110376_P9,1,,,,,,,,,,,
110376_PD,1,,,,,,,,,,,
110376_PB,1,,,,,,,,,,,
110376_PC,1,,,,,,,,,,,
110381_PE,1,,,,,,,,,,,
110451_P1,1,,,,,,,,,,,
110452_P2,1,,,,,,,,,,,
110453_P3,1,,,,,,,,,,,
110454_P4,1,,,,,,,,,,,
110455_P5,1,,,,,,,,,,,
110456_P6,1,,,,,,,,,,,
110457_P7,1,,,,,,,,,,,
110458_P8,1,,,,,,,,,,,
110459_P9,1,,,,,,,,,,,
110460_PA,1,,,,,,,,,,,
110467_PB,1,,,,,,,,,,,
110469_PC,1,,,,,,,,,,,
110481_N1,42,,,,,,,,,,,
110482_N2,42,,,,,,,,,,,
110501_PE,1,,,,,,,,,,,
110502_PE,1,,,,,,,,,,,
110503_PE,1,,,,,,,,,,,
110504_PE,1,,,,,,,,,,,
110521_PE,1,,,,,,,,,,,
110522_PE,1,,,,,,,,,,,
110551_P1,1,,,,,,,,,,,
110561_PE,1,,,,,,,,,,,
110571_PE,1,,,,,,,,,,,
110572_PE,1,,,,,,,,,,,
110573_PE,1,,,,,,,,,,,
110574_PE,1,,,,,,,,,,,
110575_PE,1,,,,,,,,,,,
110576_PE,1,,,,,,,,,,,
110577_PE,1,,,,,,,,,,,
110601_C1,60,,,,,,,,,,,
110602_C2,62,,,,,,,,,,,
110603_C3,62,,,,,,,,,,,
110604_C0,1,,,,,,,,,,,
110621_C2,65,,,,,,,,,,,
110622_C3,65,,,,,,,,,,,
110623_C0,50,,,,,,,,,,,
110661_PE,1,,,,,,,,,,,
110662_PE,1,,,,,,,,,,,
110663_C2,1,,,,,,,,,,,
110668_C3,1,,,,,,,,,,,
110681_P1,1,,,,,,,,,,,
110701_PE,1,,,,,,,,,,,
110722_N2,1,,,,,,,,,,,
110731_PE,1,,,,,,,,,,,
110732_PE,1,,,,,,,,,,,
110733_PE,1,,,,,,,,,,,
110734_PE,1,,,,,,,,,,,
110751_C1,75,,,,,,,,,,,
110752_C2,75,,,,,,,,,,,
110753_C3,75,,,,,,,,,,,
110754_C4,75,,,,,,,,,,,
110755_C0,15,,,,,,,,,,,
110761_C6,75,,,,,,,,,,,
110771_C1,75,,,,,,,,,,,
110772_C2,75,,,,,,,,,,,
110773_C0,60,,,,,,,,,,,
110791_C1,40,,,,,,,,,,,
110792_C2,40,,,,,,,,,,,
110793_C0,50,,,,,,,,,,,
110794_C3,40,,,,,,,,,,,
110795_C4,40,,,,,,,,,,,
110796_C0,50,,,,,,,,,,,
110821_C1,110,,,,,,,,,,,
110822_C2,110,,,,,,,,,,,
110823_C3,110,,,,,,,,,,,
110824_C0,95,,,,,,,,,,,
110841_P1,11.98,,,,,,,,,,,
110861_P1,1,,,,,,,,,,,
110862_P2,1,,,,,,,,,,,
110881_C5,1,,,,,,,,,,,
110882_C0,5,,,,,,,,,,,
110921_P1,1,,,,,,,,,,,
110941_PE,1,,,,,,,,,,,
110942_PE,1,,,,,,,,,,,
110943_PE,1,,,,,,,,,,,
110944_PE,1,,,,,,,,,,,
110971_N1,1,,,,,,,,,,,
110972_N2,1,,,,,,,,,,,
110973_N3,1,,,,,,,,,,,
110974_N4,1,,,,,,,,,,,
111011_P1,1,,,,,,,,,,,
111041_PE,1,,,,,,,,,,,
111101_PE,1,,,,,,,,,,,
111132_N1,45,,,,,,,,,,,
111133_N2,45,,,,,,,,,,,
111134_N3,45,,,,,,,,,,,
111135_N4,45,,,,,,,,,,,
111136_N5,45,,,,,,,,,,,
111137_N6,45,,,,,,,,,,,
111141_C1,100,,,,,,,,,,,
111142_C2,100,,,,,,,,,,,
111143_C0,150,,,,,,,,,,,
111161_1,1,,,,,,,,,,,
111181_N1,50,,,,,,,,,,,
111201_P1,1,,,,,,,,,,,
111202_P2,1,,,,,,,,,,,
111203_P3,1,,,,,,,,,,,
111221_1,37.3,,,,,,,,,,,
111241_2,37.3,,,,,,,,,,,
111261_1,37.3,,,,,,,,,,,
111262_1,37.3,,,,,,,,,,,
120001_EQ,1,,,,,,,,,,,
120013_N7,5,,,,,,,,,,,
120041_L1,1,,,,,,,,,,,
120042_L2,1,,,,,,,,,,,
120043_L3,1,,,,,,,,,,,
120051_N1,12,,,,,,,,,,,
120052_N1,12,,,,,,,,,,,
120053_N1,12,,,,,,,,,,,
120061_L1,150,,,,,,,,,,,
120071_L1,80,,,,,,,,,,,
120072_L2,80,,,,,,,,,,,
120081_C1,1,,,,,,,,,,,
120082_C0,1,,,,,,,,,,,
120091_C1,75,,,,,,,,,,,
120092_C2,75,,,,,,,,,,,
120093_C3,75,,,,,,,,,,,
120094_C0,55,,,,,,,,,,,
120101_C1,65,,,,,,,,,,,
120102_C2,65,,,,,,,,,,,
120103_C3,65,,,,,,,,,,,
120104_C0,190,,,,,,,,,,,
120111_C1,65,,,,,,,,,,,
120112_C2,65,,,,,,,,,,,
120113_C0,50,,,,,,,,,,,
120114_C3,65,,,,,,,,,,,
120115_C4,65,,,,,,,,,,,
120116_C0,50,,,,,,,,,,,
120131_L1,1,,,,,,,,,,,
120132_L2,1,,,,,,,,,,,
120141_N1,1,,,,,,,,,,,
120142_N2,1,,,,,,,,,,,
120151_N6,1,,,,,,,,,,,
120161_R1,70,,,,,,,,,,,
130001_C1,50,,,,,,,,,,,
130002_C2,50,,,,,,,,,,,
130003_C0,15,,,,,,,,,,,
130011_N1,1,,,,,,,,,,,
130012_N2,1,,,,,,,,,,,
130013_N3,1,,,,,,,,,,,
130014_N4,1,,,,,,,,,,,
130015_N5,1,,,,,,,,,,,
130121_W1,1,,,,,,,,,,,
130121_W2,1,,,,,,,,,,,
130221_W1,1,,,,,,,,,,,
130321_C1,70,,,,,,,,,,,
130322_C2,1,,,,,,,,,,,
130323_C0,1,,,,,,,,,,,
130324_C1,1,,,,,,,,,,,
130325_C2,1,,,,,,,,,,,
130326_C0,1,,,,,,,,,,,
130331_W1,1,,,,,,,,,,,
130431_W1,1,,,,,,,,,,,
130531_W1,1,,,,,,,,,,,
130631_W1,1,,,,,,,,,,,
130731_W1,1,,,,,,,,,,,
130831_W1,1,,,,,,,,,,,
130931_W1,1,,,,,,,,,,,
131031_W1,1,,,,,,,,,,,
131032_W1,1,,,,,,,,,,,
131131_PE,1,,,,,,,,,,,
131141_W1,1,,,,,,,,,,,
131142_W2,1,,,,,,,,,,,
131241_C1,40,,,,,,,,,,,
131242_C2,40,,,,,,,,,,,
131243_C0,50,,,,,,,,,,,
131244_C3,40,,,,,,,,,,,
131245_C4,40,,,,,,,,,,,
131246_C0,50,,,,,,,,,,,
131251_W1,1,,,,,,,,,,,
131351_W1,1,,,,,,,,,,,
131451_W1,1,,,,,,,,,,,
131455_W1,1,,,,,,,,,,,
131551_W1,1,,,,,,,,,,,
131651_W1,1,,,,,,,,,,,
131751_W2,1,,,,,,,,,,,
131752_W3,1,,,,,,,,,,,
131851_BT,1,,,,,,,,,,,
131851_W2,1,,,,,,,,,,,
131851_W1,1,,,,,,,,,,,
131951_W1,1,,,,,,,,,,,
131952_W1,1,,,,,,,,,,,
132111_W1,1,,,,,,,,,,,
132161_W2,1,,,,,,,,,,,
132211_W1,1,,,,,,,,,,,
132212_W2,1,,,,,,,,,,,
132311_N1,1,,,,,,,,,,,
132312_N2,1,,,,,,,,,,,
132332_S1,1,,,,,,,,,,,
132333_S2,1,,,,,,,,,,,
132382_W1,1,,,,,,,,,,,
132431_S1,1,,,,,,,,,,,
132436_1,1,,,,,,,,,,,
132481_S1,1,,,,,,,,,,,
132631_W1,1,,,,,,,,,,,
132681_W2,1,,,,,,,,,,,
132731_1,1,,,,,,,,,,,
132781_G1,1,,,,,,,,,,,
132831_S1,1,,,,,,,,,,,
132881_S1,1,,,,,,,,,,,
132931_BT,1,,,,,,,,,,,
132941_1,1,,,,,,,,,,,
132991_W1,1,,,,,,,,,,,
140001_EQ,1,,,,,,,,,,,
140003_C1,97.9,,,,,,,,,,,
140004_C2,97.9,,,,,,,,,,,
140005_C0,71.6,,,,,,,,,,,
140011_H1,1,,,,,,,,,,,
140012_H2,1,,,,,,,,,,,
140031_PE,150,,,,,,,,,,,
140041_C3,2,,,,,,,,,,,
140041_C1,2,,,,,,,,,,,
140042_C0,2,,,,,,,,,,,
140042_C2,2,,,,,,,,,,,
140051_C1,40,,,,,,,,,,,
140052_C2,40,,,,,,,,,,,
140053_C0,35,,,,,,,,,,,
140061_C1,1,,,,,,,,,,,
140062_C2,1,,,,,,,,,,,
140063_C0,1,,,,,,,,,,,
140064_C4,1,,,,,,,,,,,
140065_C5,1,,,,,,,,,,,
140066_C0,1,,,,,,,,,,,
140071_C1,60,,,,,,,,,,,
140072_C2,60,,,,,,,,,,,
140073_C0,110,,,,,,,,,,,
140074_C4,60,,,,,,,,,,,
140075_C5,60,,,,,,,,,,,
140076_C0,110,,,,,,,,,,,
140081_W1,1,,,,,,,,,,,
140181_W1,1,,,,,,,,,,,
140281_W1,1,,,,,,,,,,,
140331_W1,1,,,,,,,,,,,
140381_BT,1,,,,,,,,,,,
140381_W1,1,,,,,,,,,,,
140382_W2,1,,,,,,,,,,,
140401_W2,1,,,,,,,,,,,
140441_W1,1,,,,,,,,,,,
140471_W1,1,,,,,,,,,,,
140472_W1,1,,,,,,,,,,,
140501_W1,1,,,,,,,,,,,
140502_W2,1,,,,,,,,,,,
140601_W1,1,,,,,,,,,,,
140602_W2,1,,,,,,,,,,,
140651_W1,1,,,,,,,,,,,
140652_W2,1,,,,,,,,,,,
140654_W3,1,,,,,,,,,,,
140655_W4,1,,,,,,,,,,,
140701_W1,1,,,,,,,,,,,
140751_W1,1,,,,,,,,,,,
140752_W2,1,,,,,,,,,,,
140801_W1,1,,,,,,,,,,,
140802_W2,1,,,,,,,,,,,
140851_W1,1,,,,,,,,,,,
140852_W2,1,,,,,,,,,,,
140901_W1,1,,,,,,,,,,,
140902_W2,1,,,,,,,,,,,
140951_W1,1,,,,,,,,,,,
140952_W2,1,,,,,,,,,,,
141001_W1,1,,,,,,,,,,,
141051_W1,1,,,,,,,,,,,
141052_W2,1,,,,,,,,,,,
141151_W1,1,,,,,,,,,,,
141202_W1,1,,,,,,,,,,,
141205_W2,1,,,,,,,,,,,
141302_W1,1,,,,,,,,,,,
