//Injector,Name,Area,LoadFlag,Link,MaxMw,MinMw,RaiseRR,LowerRR,RampCapOnly,EnergyCost,CostAdder,RampUpCost,RampDnCost
109003_EQ,LAR_BL_LAR03_EQ,WZ_SOUTHERN,0,,80,,50,50,,,2.01366666666667,,
109021_B1,BL_BL_BRN_1_B1,WZ_SOUTHERN,0,,25,,200,200,,,0,,
109062_B1,BL_BL_MILT_2_B1,WZ_SOUTHERN,0,,80,,50,50,,,2.01366666666667,,
109081_B1,BL_CCSWC_B1,WZ_EAST,0,,100,,50,50,,,2.01366666666667,,
110001_N2,SRB_SRB_G2_N2,WZ_COAST,0,,200,,50,50,,,2.01366666666667,,
110002_N1,SRB_SRB_G1_N1,WZ_COAST,0,,130,,50,50,,,2.01366666666667,,
110011_N1,WAP_WAP_G1_N1,WZ_COAST,0,,195.130423954018,,15,15,,,8.33,,
110012_N2,WAP_WAP_G2_N2,WZ_COAST,0,,195.130423954018,,15,15,,,8.33,,
110013_N3,WAP_WAP_G3_N3,WZ_COAST,0,,297.891416450512,,15,15,,,8.33,,
110014_N4,WAP_WAP_G4_N4,WZ_COAST,0,,637.34907705691,,15,15,,,8.33,,
110015_L5,WAP_WAP_G5_L5,WZ_COAST,0,,600.423252503203,,5,5,,,2.59,,
110016_L6,WAP_WAP_G6_L6,WZ_COAST,0,,599.519000616903,,5,5,,,2.59,,
110017_L7,WAP_WAP_G7_L7,WZ_COAST,0,,521.753338395103,,5,5,,,2.59,,
110018_L8,WAP_WAP_G8_L8,WZ_COAST,0,,551.593650643003,,5,5,,,2.59,,
110019_BS,WAP_WAPGT_1_BS,WZ_COAST,0,,23.5569680020339,,40,40,,,236.22,,
110020_N1,WAP_GT2_N1,WZ_COAST,0,,147.885410234991,,40,40,,,1.5,,
110031_N1,RAY_RAYBURG1_N1,WZ_COAST,0,,19.6308066683616,,40,40,,,218.64,,
110032_N2,RAY_RAYBURG2_N2,WZ_COAST,0,,19.6308066683616,,40,40,,,218.64,,
110034_C7,RAY_RAYBURG7_C7,WZ_COAST,0,,57.730894660952,,20,20,,,8.6,,
110035_C8,RAY_RAYBURG8_C8,WZ_COAST,0,,57.730894660952,,20,20,,,8.6,,
110036_C9,RAY_RAYBURG9_C9,WZ_COAST,0,,57.730894660952,,20,20,,,8.6,,
110037_C0,RA_RAYBURG10_C0,WZ_COAST,0,,47.2343683589607,,20,20,,,8.6,,
110041_BS,THW_THWGT_1_BS,WZ_COAST,0,,19.6308066683616,,40,40,,,8.12,,
110042_C1,THW_THWGT31_C1,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110043_C2,THW_THWGT32_C2,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110044_C3,THW_THWGT33_C3,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110045_C4,THW_THWGT34_C4,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110046_C0,THW_THWST_3_C0,WZ_COAST,0,,125.958315623895,,20,20,,,8.6,,
110047_C5,THW_THWGT41_C5,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110048_C6,THW_THWGT42_C6,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110049_C7,THW_THWGT43_C7,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110050_C8,THW_THWGT44_C8,WZ_COAST,0,,78.7239472649345,,20,20,,,8.6,,
110051_C0,THW_THWST_4_C0,WZ_COAST,0,,125.958315623895,,20,20,,,8.6,,
110052_N1,THW_THWGT51_N1,WZ_COAST,0,,98.154033341808,,40,40,,,8.12,,
110053_N2,THW_THWGT52_N2,WZ_COAST,0,,98.154033341808,,40,40,,,8.12,,
110054_N3,THW_THWGT53_N3,WZ_COAST,0,,98.154033341808,,40,40,,,8.12,,
110055_N4,THW_THWGT54_N4,WZ_COAST,0,,98.154033341808,,40,40,,,8.12,,
110056_N5,THW_THWGT55_N5,WZ_COAST,0,,98.154033341808,,40,40,,,8.12,,
110057_N6,THW_THWGT56_N6,WZ_COAST,0,,98.154033341808,,40,40,,,8.12,,
110071_N1,CBY_CBY_G1_N1,WZ_COAST,0,,839.722104159302,,15,15,,,4.5,,
110072_N2,CBY_CBY_G2_N2,WZ_COAST,0,,839.722104159302,,15,15,,,4.5,,
110073_C1,CBY4_CT41_C1,WZ_COAST,0,,225.675315492812,,20,20,,,1.65,,
110074_C2,CBY4_CT42_C2,WZ_COAST,0,,225.675315492812,,20,20,,,1.65,,
110075_C0,CBY4_ST04_C0,WZ_COAST,0,,225.675315492812,,20,20,,,1.65,,
110092_N1,GBY_GBYGT73_N1,WZ_COAST,0,,91.6104311190208,,40,40,,,44.09,,
110093_N2,GBY_GBYGT74_N2,WZ_COAST,0,,91.6104311190208,,40,40,,,44.09,,
110094_N3,GBY_GBYGT81_N3,WZ_COAST,0,,91.6104311190208,,40,40,,,44.09,,
110095_N4,GBY_GBYGT82_N4,WZ_COAST,0,,96.8453128972506,,40,40,,,44.09,,
110096_N5,GBY_GBYGT83_N5,WZ_COAST,0,,104.697635564595,,40,40,,,44.09,,
110097_N6,GBY_GBYGT84_N6,WZ_COAST,0,,91.6104311190208,,40,40,,,44.09,,
110111_P1,DOWG_DOW_G37_P1,WZ_COAST,0,,78.7239472649345,,20,20,,,1.17,,
110114_P1,DOWG_DOW_G61_P1,WZ_COAST,0,,99.2551527116295,,20,20,,,1.17,,
110116_P1,DOWG_DOW_G63_P1,WZ_COAST,0,,99.2551527116295,,20,20,,,1.17,,
110117_P1,DOW_DOW_ST64_P1,WZ_COAST,0,,68.0174904369034,,20,20,,,1.17,,
110123_P1,DOWG_DOW_G67_P1,WZ_COAST,0,,124.908662993696,,20,20,,,1.17,,
110124_P1,DOWG_DOW_G66_P1,WZ_COAST,0,,124.908662993696,,20,20,,,1.17,,
110125_P1,DOW_DOW_ST65_P1,WZ_COAST,0,,116.878820372673,,20,20,,,1.17,,
110135_P1,DOWG_DOW_G81_P1,WZ_COAST,0,,110.339484486532,,20,20,,,2.19321243523316,,
110137_P1,DOWG_DOW_G82_P1,WZ_COAST,0,,110.339484486532,,20,20,,,2.19321243523316,,
110139_P1,DOWG_DOW_G83_P1,WZ_COAST,0,,110.339484486532,,20,20,,,2.19321243523316,,
110141_P1,DOW_DOW_ST84_P1,WZ_COAST,0,,214.916376033271,,20,20,,,2.19321243523316,,
110146_P1,DOW_DOW_GT96_P1,WZ_COAST,0,,217.278094451219,,20,20,,,2.19321243523316,,
110147_P1,DOW_DOW_ST95_P1,WZ_COAST,0,,85.0218630461293,,20,20,,,2.19321243523316,,
110171_PE,DIB_DIB_G1_PE,WZ_COAST,0,,111.241237787382,,40,40,,,25.952688172043,,
110172_PE,DIB_DIB_G2_PE,WZ_COAST,0,,111.241237787382,,40,40,,,25.952688172043,,
110173_PE,DIB_DIB_G3_PE,WZ_COAST,0,,108.100308720445,,40,40,,,25.952688172043,,
110174_PE,DIB_DIB_G4_PE,WZ_COAST,0,,107.31507645371,,40,40,,,25.952688172043,,
110201_PE,BYU_BYU_G1_PE,WZ_COAST,0,,116.476119565612,,40,40,,,25.952688172043,,
110202_PE,BYU_BYU_G2_PE,WZ_COAST,0,,111.241237787382,,40,40,,,25.952688172043,,
110203_PE,BYU_BYU_G3_PE,WZ_COAST,0,,111.241237787382,,40,40,,,25.952688172043,,
110204_PE,BYU_BYU_G4_PE,WZ_COAST,0,,117.261351832347,,40,40,,,25.952688172043,,
110205_C0,BYU_BYU_G8_C0,WZ_COAST,0,,6.02011404496422,,40,40,,,25.952688172043,,
110231_P1,_AK__AK_G1_P1,WZ_COAST,0,,35,,200,200,,,0,,
110261_N1,TGF_TGFGT_1_N1,WZ_COAST,0,,94,,50,50,,,2.01366666666667,,
110271_PE,AMOC_AMOCO_1_PE,WZ_COAST,0,,104.697635564595,,40,40,,,25.952688172043,,
110272_PE,AMOC_AMOCO_2_PE,WZ_COAST,0,,104.697635564595,,40,40,,,25.952688172043,,
110273_PE,AMOC_AMOCO_5_PE,WZ_COAST,0,,41.8790542258381,,40,40,,,25.952688172043,,
110280_PE,AMO_AMOCO_G1_PE,WZ_COAST,0,,235.569680020339,,40,40,,,25.952688172043,,
110281_PE,AMO_AMOCO_G2_PE,WZ_COAST,0,,235.569680020339,,40,40,,,25.952688172043,,
110282_PE,AMO_AMOCO_G3_PE,WZ_COAST,0,,235.569680020339,,40,40,,,25.952688172043,,
110283_PE,AMO_AMOCO_S1_PE,WZ_COAST,0,,130.872044455744,,40,40,,,25.952688172043,,
110284_PE,AMO_AMOCO_S2_PE,WZ_COAST,0,,327.18011113936,,40,40,,,25.952688172043,,
110331_P1,NCA_NCARBIG1_P1,WZ_COAST,0,,34,,200,200,,,0,,
110331_P5,NCA_NCARBIG1_P5,WZ_COAST,0,,13,,200,200,,,0,,
110332_P2,NCA_NCARBIG2_P2,WZ_COAST,0,,34,,200,200,,,0,,
110332_P7,NCA_NCARBIG2_P7,WZ_COAST,0,,13,,200,200,,,0,,
110333_P6,NCA_NCARBIG6_P6,WZ_COAST,0,,6,,200,200,,,0,,
110334_P3,NCA_NCARBIG3_P3,WZ_COAST,0,,36,,200,200,,,0,,
110335_P8,NCA_NCARBIG8_P8,WZ_COAST,0,,16,,200,200,,,0,,
110351_U1,STP_STP_G1_U1,WZ_COAST,0,,1474,,15,15,,,2.95,,
110352_U2,STP_STP_G2_U2,WZ_COAST,0,,1474,,15,15,,,2.95,,
110371_P1,EXN_EXN_G1_P1,WZ_COAST,0,,60.5937565830095,,40,40,,,1.5,,
110372_P2,EXN_EXN_G2_P2,WZ_COAST,0,,60.5937565830095,,40,40,,,1.5,,
110373_P3,EXN_EXN_G3_P3,WZ_COAST,0,,60.5937565830095,,40,40,,,1.5,,
110374_P4,EXN_EXN_G4_P4,WZ_COAST,0,,155.345116768968,,40,40,,,1.5,,
110375_P8,EXN_EXN_G8_P8,WZ_COAST,0,,66.7447426724295,,40,40,,,1.5,,
110375_PF,EXN_EXN_G8_PF,WZ_COAST,0,,9.8154033341808,,40,40,,,1.5,,
110376_P9,EXN_EXN_G9_P9,WZ_COAST,0,,39.7851015145462,,40,40,,,1.5,,
110376_PA,EXN_EXN_G9_PA,WZ_COAST,0,,39.7851015145462,,40,40,,,1.5,,
110376_PB,EXN_EXN_G9_PB,WZ_COAST,0,,39.7851015145462,,40,40,,,1.5,,
110376_PC,EXN_EXN_G9_PC,WZ_COAST,0,,39.7851015145462,,40,40,,,1.5,,
110376_PD,EXN_EXN_G9_PD,WZ_COAST,0,,66.7447426724295,,40,40,,,1.5,,
110381_PE,EXN_EXN_G14_PE,WZ_COAST,0,,190,,15,15,,,2.76,,
110451_P1,FOR_FORMOSG1_P1,WZ_COAST,0,,94.4687367179214,,20,20,,,1.21,,
110452_P2,FOR_FORMOSG2_P2,WZ_COAST,0,,94.4687367179214,,20,20,,,1.21,,
110453_P3,FOR_FORMOSG3_P3,WZ_COAST,0,,94.4687367179214,,20,20,,,1.21,,
110454_P4,FOR_FORMOSG4_P4,WZ_COAST,0,,94.4687367179214,,20,20,,,1.21,,
110455_P5,FOR_FORMOSG5_P5,WZ_COAST,0,,94.4687367179214,,20,20,,,1.21,,
110456_P6,FOR_FORMOSG6_P6,WZ_COAST,0,,33.5888841663721,,20,20,,,1.21,,
110457_P7,FOR_FORMOSG7_P7,WZ_COAST,0,,65.0784630723459,,20,20,,,2.19321243523316,,
110458_P8,FOR_FORMOSG8_P8,WZ_COAST,0,,39.8867999475668,,20,20,,,2.19321243523316,,
110459_P9,FOR_FORMOSG9_P9,WZ_COAST,0,,54.5819367703546,,20,20,,,2.19321243523316,,
110460_PA,FO_FORMOSG10_PA,WZ_COAST,0,,88.1708209367267,,20,20,,,1.21,,
110467_PB,FO_FORMOSG11_PB,WZ_COAST,0,,150.205291381495,,20,20,,,1.21,,
110469_PC,FO_FORMOSG12_PC,WZ_COAST,0,,150.205291381495,,20,20,,,1.21,,
110481_N1,SJS_SJS_G1_N1,WZ_COAST,0,,103,,50,50,,,2.01366666666667,,
110482_N2,SJS_SJS_G2_N2,WZ_COAST,0,,103,,50,50,,,2.01366666666667,,
110501_PE,SCLP_SCLPC_1_PE,WZ_COAST,0,,135,,50,50,,,2.01366666666667,,
110502_PE,SCLP_SCLPC_2_PE,WZ_COAST,0,,135,,50,50,,,2.01366666666667,,
110503_PE,SCLP_SCLPC_3_PE,WZ_COAST,0,,135,,50,50,,,2.01366666666667,,
110504_PE,SCLP_SCLPC_4_PE,WZ_COAST,0,,135,,50,50,,,2.01366666666667,,
110521_PE,CAL_CALGT1_PE,WZ_COAST,0,,199.433999737834,,20,20,,,2.19321243523316,,
110522_PE,CAL_CALSTG1_PE,WZ_COAST,0,,83.9722104159302,,20,20,,,2.19321243523316,,
110551_P1,BSF_GN_P1,WZ_COAST,0,,81.6,,50,50,,,2.01366666666667,,
110561_PE,MSN_110561_PE,WZ_COAST,0,,46.1,,50,50,,,2.01366666666667,,
110571_PE,PSA_PSA_G1_PE,WZ_COAST,0,,88.1708209367267,,20,20,,,2.19321243523316,,
110572_PE,PSA_PSA_G2_PE,WZ_COAST,0,,87.1211683065275,,20,20,,,2.19321243523316,,
110573_PE,PSA_PSA_G3_PE,WZ_COAST,0,,89.2204735669258,,20,20,,,2.19321243523316,,
110574_PE,PSA_PSA_G4_PE,WZ_COAST,0,,91.3197788273241,,20,20,,,2.19321243523316,,
110575_PE,PSA_PSA_G5_PE,WZ_COAST,0,,90.2701261971249,,20,20,,,2.19321243523316,,
110576_PE,PSA_PSA_G6_PE,WZ_COAST,0,,89.2204735669258,,20,20,,,2.19321243523316,,
110577_PE,PSA_PSA_G7_PE,WZ_COAST,0,,145.901715597679,,20,20,,,2.19321243523316,,
110601_C1,TXCTY_CTA_C1,WZ_COAST,0,,120.7100524729,,20,20,,,3.59,,
110602_C2,TXCTY_CTB_C2,WZ_COAST,0,,115.461789321904,,20,20,,,3.59,,
110603_C3,TXCTY_CTC_C3,WZ_COAST,0,,115.461789321904,,20,20,,,3.59,,
110604_C0,TXCTY_ST_C0,WZ_COAST,0,,146.951368227878,,20,20,,,3.59,,
110621_C2,PSG_PSG_GT2_C2,WZ_COAST,0,,194.185736586838,,20,20,,,1.06,,
110622_C3,PSG_PSG_GT3_C3,WZ_COAST,0,,194.185736586838,,20,20,,,1.06,,
110623_C0,PSG_PSG_ST2_C0,WZ_COAST,0,,194.185736586838,,20,20,,,1.06,,
110661_PE,CHE_CHEGT1_PE,WZ_COAST,0,,154.298936639272,,20,20,,,2.19321243523316,,
110662_PE,CHE_CHEST1_PE,WZ_COAST,0,,192.08643132644,,20,20,,,2.19321243523316,,
110663_C2,CHE_GT2_C2,WZ_COAST,0,,265.67025024516,,40,40,,,25.952688172043,,
110668_C3,CHE_GT3_C3,WZ_COAST,0,,265.67025024516,,40,40,,,25.952688172043,,
110681_P1,DUP_DUPV1_G1_P1,WZ_COAST,0,,94,,50,50,,,2.01366666666667,,
110701_PE,LHM_CVC_G4_PE,WZ_COAST,0,,192,,50,50,,,2.01366666666667,,
110722_N2,UCC__UCC_C_2_N2,WZ_COAST,0,,38,,200,200,,,0,,
110731_PE,BTE_BTE_G1_PE,WZ_COAST,0,,283.406210153764,,20,20,,,0.95,,
110732_PE,BTE_BTE_G2_PE,WZ_COAST,0,,241.420104945799,,20,20,,,0.95,,
110733_PE,BTE_BTE_G3_PE,WZ_COAST,0,,241.420104945799,,20,20,,,0.95,,
110734_PE,BTE_BTE_G4_PE,WZ_COAST,0,,241.420104945799,,20,20,,,0.95,,
110751_C1,DDPEC_GT1_C1,WZ_COAST,0,,223.576010232414,,20,20,,,0.79,,
110752_C2,DDPEC_GT2_C2,WZ_COAST,0,,223.576010232414,,20,20,,,0.79,,
110753_C3,DDPEC_GT3_C3,WZ_COAST,0,,223.576010232414,,20,20,,,0.79,,
110754_C4,DDPEC_GT4_C4,WZ_COAST,0,,223.576010232414,,20,20,,,0.79,,
110755_C0,DDPEC_ST1_C0,WZ_COAST,0,,304.399262757747,,20,20,,,0.79,,
110756_chg,110756_chg,WZ_COAST,1,,0,,,,,,,,
110761_C6,DDPEC_GT6_C6,WZ_COAST,0,,208.880873409626,,20,20,,,0.79,,
110771_C1,BVE_UNIT1_C1,WZ_COAST,0,,204.68226288883,,20,20,,,1.14,,
110772_C2,BVE_UNIT2_C2,WZ_COAST,0,,204.68226288883,,20,20,,,1.14,,
110773_C0,BVE_UNIT3_C0,WZ_COAST,0,,288.65447330476,,20,20,,,1.14,,
110791_C1,CBEC_GT1_C1,WZ_COAST,0,,92.3694314575232,,20,20,,,1.38,,
110792_C2,CBEC_GT2_C2,WZ_COAST,0,,92.3694314575232,,20,20,,,1.38,,
110793_C0,CBEC_STG1_C0,WZ_COAST,0,,110.213526170908,,20,20,,,1.38,,
110794_C3,CBEC_GT3_C3,WZ_COAST,0,,92.3694314575232,,20,20,,,1.38,,
110795_C4,CBEC_GT4_C4,WZ_COAST,0,,92.3694314575232,,20,20,,,1.38,,
110796_C0,CBEC_STG2_C0,WZ_COAST,0,,113.362484061506,,20,20,,,1.38,,
110821_C1,CVC_CVC_G1_C1,WZ_COAST,0,,204.68226288883,,20,20,,,0.82,,
110822_C2,CVC_CVC_G2_C2,WZ_COAST,0,,200.483652368033,,20,20,,,0.82,,
110823_C3,CVC_CVC_G3_C3,WZ_COAST,0,,200.483652368033,,20,20,,,0.82,,
110824_C0,CVC_CVC_G5_C0,WZ_COAST,0,,157.447894529869,,20,20,,,0.82,,
110841_P1,WRN_TARGA_1_P1,WZ_COAST,0,,16,,200,200,,,0,,
110861_P1,VISTRON_TG1_P1,WZ_COAST,0,,16,,200,200,,,0,,
110862_P2,VISTRON_TG2_P2,WZ_COAST,0,,14,,200,200,,,0,,
110881_C5,VIC_VICTORG5_C5,WZ_COAST,0,,183.689210284847,,20,20,,,2.55,,
110882_C0,VIC_VICTORG6_C0,WZ_COAST,0,,201.533304998232,,20,20,,,2.55,,
110921_P1,PR_PR_G2_P1,WZ_COAST,0,,35,,200,200,,,0,,
110941_PE,SL_SL_G1_PE,WZ_COAST,0,,88.2,,50,50,,,2.01366666666667,,
110942_PE,SL_SL_G2_PE,WZ_COAST,0,,88.2,,50,50,,,2.01366666666667,,
110943_PE,SL_SL_G3_PE,WZ_COAST,0,,46.9,,50,50,,,2.01366666666667,,
110944_PE,SL_SL_G4_PE,WZ_COAST,0,,46.9,,50,50,,,2.01366666666667,,
110971_N1,AZ_AZ_G1_N1,WZ_COAST,0,,60.2011404496423,,40,40,,,3.88,,
110972_N2,AZ_AZ_G2_N2,WZ_COAST,0,,60.2011404496423,,40,40,,,3.88,,
110973_N3,AZ_AZ_G3_N3,WZ_COAST,0,,60.2011404496423,,40,40,,,3.88,,
110974_N4,AZ_AZ_G4_N4,WZ_COAST,0,,60.2011404496423,,40,40,,,3.88,,
111011_P1,TC_TCHP1_P1,WZ_COAST,0,,48,,50,50,,,2.01366666666667,,
111041_PE,BFM_HYD_ST1_PE,WZ_COAST,0,,16,,150,150,,,23.5191304347826,,
111101_PE,RNPCOGEN_1_PE,WZ_COAST,0,,15.5348589269471,,20,20,,,2.19321243523316,,
111132_N1,BAC_CTG1_N1,WZ_COAST,0,,109.932517342825,,40,40,,,6.93,,
111133_N2,BAC_CTG2_N2,WZ_COAST,0,,109.932517342825,,40,40,,,6.93,,
111134_N3,BAC_CTG3_N3,WZ_COAST,0,,109.932517342825,,40,40,,,6.93,,
111135_N4,BAC_CTG4_N4,WZ_COAST,0,,109.932517342825,,40,40,,,6.93,,
111136_N5,BAC_CTG5_N5,WZ_COAST,0,,109.932517342825,,40,40,,,6.93,,
111137_N6,BAC_CTG6_N6,WZ_COAST,0,,109.932517342825,,40,40,,,6.93,,
111141_C1,CBECII_CT7_C1,WZ_COAST,0,,393.619736324673,,20,20,,,0.97,,
111142_C2,CBECII_CT8_C2,WZ_COAST,0,,393.619736324673,,20,20,,,0.97,,
111143_C0,CBECII_STG9_C0,WZ_COAST,0,,551.067630854542,,20,20,,,0.97,,
111161_1,MIRAGE_G1_1,WZ_COAST,0,,11,,200,200,,,0,,
111181_N1,111181__N1,WZ_COAST,0,,129,,50,50,,,2.01366666666667,,
