//scn,ara,int,BalancePrice,LoadFlowPrice,LoadLossPrice,LoadPrice,SourceFlowPrice,SourceLossPrice,SourcePrice,Loss,LossUpdate,LossError
ScnDA,0,1,41.777,-11.329,0.000,30.448,-20.889,0.000,20.889,+0.0000e+000,+2.7457e+003,-2.7457e+003
ScnDA,0,2,47.236,-16.483,0.000,30.753,-23.618,0.000,23.618,+0.0000e+000,+2.6875e+003,-2.6875e+003
ScnDA,0,3,52.955,-21.276,0.000,31.678,-26.477,0.000,26.477,+0.0000e+000,+2.6220e+003,-2.6220e+003
ScnDA,0,4,53.798,-21.708,0.000,32.089,-26.899,0.000,26.899,+0.0000e+000,+2.5523e+003,-2.5523e+003
ScnDA,0,5,61.833,-29.520,0.000,32.313,-30.916,0.000,30.916,+0.0000e+000,+2.4159e+003,-2.4159e+003
ScnDA,0,6,64.236,-31.603,0.000,32.633,-32.118,0.000,32.118,+0.0000e+000,+2.2370e+003,-2.2370e+003
ScnDA,0,7,65.233,-32.160,0.000,33.073,-32.617,0.000,32.617,+0.0000e+000,+2.1616e+003,-2.1616e+003
ScnDA,0,8,65.369,-32.209,0.000,33.159,-32.684,0.000,32.684,+0.0000e+000,+2.1991e+003,-2.1991e+003
ScnDA,0,9,63.386,-30.371,0.000,33.015,-31.693,0.000,31.693,+0.0000e+000,+2.6809e+003,-2.6809e+003
ScnDA,0,10,5.869,24.697,0.000,30.566,-2.935,0.000,2.935,+0.0000e+000,+4.4540e+003,-4.4540e+003
ScnDA,0,11,4.366,25.883,0.000,30.249,-2.183,0.000,2.183,+0.0000e+000,+4.8340e+003,-4.8340e+003
ScnDA,0,12,4.705,24.701,0.000,29.406,-2.352,0.000,2.352,+0.0000e+000,+4.8901e+003,-4.8901e+003
ScnDA,0,13,4.163,24.807,0.000,28.969,-2.081,0.000,2.081,+0.0000e+000,+5.0155e+003,-5.0155e+003
ScnDA,0,14,4.020,24.979,0.000,28.999,-2.010,0.000,2.010,+0.0000e+000,+5.2285e+003,-5.2285e+003
ScnDA,0,15,3.297,25.093,0.000,28.390,-1.649,0.000,1.649,+0.0000e+000,+5.3518e+003,-5.3518e+003
ScnDA,0,16,2.139,26.251,0.000,28.390,-1.069,0.000,1.069,+0.0000e+000,+5.4010e+003,-5.4010e+003
ScnDA,0,17,3.323,25.624,0.000,28.947,-1.661,0.000,1.661,+0.0000e+000,+5.3619e+003,-5.3619e+003
ScnDA,0,18,8.302,21.385,0.000,29.687,-4.151,0.000,4.151,+0.0000e+000,+3.9754e+003,-3.9754e+003
ScnDA,0,19,17.298,14.122,0.000,31.420,-8.649,0.000,8.649,+0.0000e+000,+3.0445e+003,-3.0445e+003
ScnDA,0,20,28.831,2.348,0.000,31.179,-14.415,0.000,14.415,+0.0000e+000,+3.0266e+003,-3.0266e+003
ScnDA,0,21,28.648,2.504,0.000,31.152,-14.324,0.000,14.324,+0.0000e+000,+2.9934e+003,-2.9934e+003
ScnDA,0,22,29.161,1.641,0.000,30.802,-14.580,0.000,14.580,+0.0000e+000,+2.8957e+003,-2.8957e+003
ScnDA,0,23,15.936,12.840,0.000,28.775,-7.968,0.000,7.968,+0.0000e+000,+2.8826e+003,-2.8826e+003
ScnDA,0,24,15.834,12.746,0.000,28.581,-7.917,0.000,7.917,+0.0000e+000,+2.9305e+003,-2.9305e+003
ScnDA,WZ_COAST,1,41.777,-11.071,0.000,30.706,-11.463,0.000,30.314,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,2,47.236,-16.463,0.000,30.773,-16.798,0.000,30.439,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,3,52.955,-21.306,0.000,31.649,-22.027,0.000,30.928,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,4,53.798,-21.438,0.000,32.360,-21.772,0.000,32.026,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,5,61.833,-29.875,0.000,31.957,-30.635,0.000,31.198,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,6,64.236,-31.987,0.000,32.249,-32.664,0.000,31.572,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,7,65.233,-32.582,0.000,32.651,-33.251,0.000,31.982,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,8,65.369,-32.647,0.000,32.721,-33.308,0.000,32.060,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,9,63.386,-30.551,0.000,32.835,-30.961,0.000,32.425,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,10,5.869,26.434,0.000,32.303,26.174,0.000,32.044,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,11,4.366,27.851,0.000,32.217,27.568,0.000,31.934,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,12,4.705,26.806,0.000,31.511,26.583,0.000,31.288,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,13,4.163,27.034,0.000,31.197,26.841,0.000,31.003,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,14,4.020,27.191,0.000,31.211,27.003,0.000,31.023,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,15,3.297,27.481,0.000,30.778,27.353,0.000,30.650,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,16,2.139,28.670,0.000,30.808,28.543,0.000,30.681,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,17,3.323,27.905,0.000,31.228,27.725,0.000,31.048,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,18,8.302,23.538,0.000,31.840,23.312,0.000,31.614,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,19,17.298,15.363,0.000,32.661,15.079,0.000,32.378,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,20,28.831,3.583,0.000,32.413,3.327,0.000,32.158,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,21,28.648,3.759,0.000,32.408,3.484,0.000,32.132,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,22,29.161,2.818,0.000,31.979,2.533,0.000,31.693,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,23,15.936,14.652,0.000,30.588,14.504,0.000,30.440,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,24,15.834,14.520,0.000,30.354,14.366,0.000,30.200,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,1,41.777,-9.758,0.000,32.019,-9.825,0.000,31.953,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,2,47.236,-15.518,0.000,31.719,-15.570,0.000,31.666,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,3,52.955,-20.885,0.000,32.070,-20.905,0.000,32.050,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,4,53.798,-21.348,0.000,32.449,-21.368,0.000,32.430,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,5,61.833,-29.184,0.000,32.649,-29.197,0.000,32.636,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,6,64.236,-31.436,0.000,32.800,-31.440,0.000,32.796,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,7,65.233,-31.982,0.000,33.251,-31.987,0.000,33.246,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,8,65.369,-32.039,0.000,33.329,-32.044,0.000,33.324,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,9,63.386,-29.972,0.000,33.414,-29.992,0.000,33.394,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,10,5.869,26.332,0.000,32.202,26.284,0.000,32.153,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,11,4.366,27.457,0.000,31.823,27.409,0.000,31.775,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,12,4.705,26.181,0.000,30.885,26.126,0.000,30.831,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,13,4.163,26.082,0.000,30.245,26.038,0.000,30.201,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,14,4.020,26.195,0.000,30.215,26.152,0.000,30.172,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,15,3.297,25.869,0.000,29.167,25.847,0.000,29.144,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,16,2.139,27.039,0.000,29.178,27.016,0.000,29.155,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,17,3.323,26.749,0.000,30.072,26.712,0.000,30.035,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,18,8.302,22.652,0.000,30.954,22.611,0.000,30.913,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,19,17.298,15.402,0.000,32.700,15.319,0.000,32.617,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,20,28.831,3.565,0.000,32.396,3.516,0.000,32.347,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,21,28.648,3.706,0.000,32.354,3.657,0.000,32.305,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,22,29.161,2.599,0.000,31.760,2.564,0.000,31.725,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,23,15.936,13.271,0.000,29.206,13.252,0.000,29.188,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_EAST,24,15.834,13.208,0.000,29.042,13.187,0.000,29.021,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,1,41.777,-21.448,0.000,20.329,-21.324,0.000,20.454,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,2,47.236,-23.998,0.000,23.238,-23.971,0.000,23.265,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,3,52.955,-26.688,0.000,26.267,-26.656,0.000,26.298,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,4,53.798,-27.094,0.000,26.704,-27.062,0.000,26.736,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,5,61.833,-31.018,0.000,30.815,-31.009,0.000,30.824,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,6,64.236,-32.178,0.000,32.058,-32.174,0.000,32.062,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,7,65.233,-32.679,0.000,32.555,-32.675,0.000,32.559,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,8,65.369,-32.747,0.000,32.622,-32.741,0.000,32.628,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,9,63.386,-31.792,0.000,31.594,-31.752,0.000,31.634,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,10,5.869,2.826,0.000,8.696,0.889,0.000,6.758,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,11,4.366,1.481,0.000,5.847,0.043,0.000,4.409,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,12,4.705,-1.991,0.000,2.714,-2.145,0.000,2.560,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,13,4.163,-2.140,0.000,2.022,-2.116,0.000,2.046,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,14,4.020,-2.162,0.000,1.858,-2.235,0.000,1.785,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,15,3.297,-1.655,0.000,1.643,-2.075,0.000,1.222,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,16,2.139,-0.879,0.000,1.260,-1.184,0.000,0.955,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,17,3.323,-1.693,0.000,1.630,-2.108,0.000,1.214,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,18,8.302,-5.208,0.000,3.094,-4.640,0.000,3.662,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,19,17.298,-9.709,0.000,7.589,-9.443,0.000,7.855,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,20,28.831,-15.105,0.000,13.725,-14.932,0.000,13.898,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,21,28.648,-15.018,0.000,13.630,-14.847,0.000,13.801,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,22,29.161,-15.225,0.000,13.935,-15.082,0.000,14.079,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,23,15.936,-8.661,0.000,7.274,-8.515,0.000,7.420,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_FAR_WEST,24,15.834,-8.613,0.000,7.221,-8.469,0.000,7.365,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,1,41.777,-0.345,0.000,41.433,-29.703,0.000,12.074,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,2,47.236,-3.497,0.000,43.739,-34.764,0.000,12.472,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,3,52.955,-13.482,0.000,39.473,-39.059,0.000,13.896,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,4,53.798,-14.075,0.000,39.723,-37.035,0.000,16.763,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,5,61.833,-27.494,0.000,34.339,-41.026,0.000,20.806,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,6,64.236,-31.608,0.000,32.629,-34.277,0.000,29.959,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,7,65.233,-31.809,0.000,33.425,-34.234,0.000,30.999,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,8,65.369,-31.792,0.000,33.576,-34.863,0.000,30.506,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,9,63.386,-27.184,0.000,36.202,-31.843,0.000,31.543,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,10,5.869,36.348,0.000,42.218,14.639,0.000,20.509,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,11,4.366,39.281,0.000,43.647,14.257,0.000,18.623,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,12,4.705,42.186,0.000,46.891,8.699,0.000,13.404,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,13,4.163,41.606,0.000,45.768,7.671,0.000,11.834,+0.0000e+000,+0.0000e+000,+0.0000e+000
